iter	Passed	Remaining
0	57	57556
1	58	29075
2	58	19495
3	59	14703
4	59	11830
5	60	9943
6	60	8578
7	60	7548
8	61	6749
9	61	6111
10	62	5594
11	62	5174
12	63	4809
13	63	4490
14	64	4212
15	64	3978
16	65	3769
17	65	3588
18	66	3419
19	66	3264
20	67	3127
21	67	2997
22	67	2881
23	68	2774
24	68	2680
25	69	2593
26	69	2516
27	70	2442
28	70	2375
29	71	2311
30	71	2244
31	72	2187
32	72	2131
33	73	2079
34	74	2047
35	74	2003
36	75	1962
37	75	1921
38	76	1882
39	76	1844
40	77	1807
41	77	1772
42	78	1739
43	78	1708
44	79	1676
45	79	1647
46	80	1634
47	81	1609
48	81	1583
49	82	1558
50	82	1532
51	82	1506
52	83	1483
53	83	1460
54	83	1438
55	84	1417
56	84	1399
57	84	1379
58	85	1360
59	85	1342
60	86	1324
61	86	1308
62	86	1292
63	87	1276
64	87	1261
65	88	1245
66	88	1232
67	88	1218
68	89	1204
69	89	1192
70	90	1181
71	90	1170
72	91	1159
73	91	1147
74	92	1136
75	92	1126
76	93	1115
77	93	1105
78	94	1099
79	94	1088
80	95	1078
81	95	1068
82	95	1055
83	95	1045
84	96	1036
85	96	1027
86	97	1018
87	97	1009
88	97	1000
89	98	992
90	98	985
91	98	976
92	99	968
93	99	960
94	99	952
95	100	944
96	100	937
97	101	929
98	101	922
99	101	915
100	102	908
101	102	902
102	102	896
103	103	889
104	103	883
105	104	878
106	104	873
107	105	870
108	105	865
109	106	860
110	106	854
111	107	850
112	107	845
113	108	840
114	108	835
115	109	833
116	109	827
117	110	823
118	110	818
119	110	813
120	111	809
121	111	803
122	112	798
123	112	793
124	112	789
125	113	784
126	113	779
127	113	775
128	114	771
129	114	767
130	115	764
131	115	759
132	115	755
133	116	752
134	116	748
135	117	744
136	117	741
137	118	737
138	118	734
139	119	731
140	119	727
141	119	723
142	120	722
143	121	721
144	121	718
145	122	715
146	122	712
147	123	709
148	123	706
149	124	703
150	124	702
151	125	699
152	125	696
153	126	693
154	126	690
155	127	688
156	127	685
157	128	683
158	128	680
159	129	677
160	129	673
161	129	671
162	130	668
163	130	665
164	131	663
165	131	660
166	131	657
167	132	654
168	132	652
169	133	649
170	133	646
171	133	644
172	134	642
173	134	639
174	135	637
175	135	634
176	136	632
177	136	630
178	137	628
179	137	626
180	137	624
181	138	621
182	138	619
183	139	618
184	139	616
185	140	614
186	140	612
187	141	609
188	141	606
189	141	604
190	142	602
191	142	600
192	143	598
193	143	596
194	143	594
195	144	591
196	144	589
197	145	587
198	145	585
199	145	583
200	146	581
201	146	579
202	147	577
203	147	575
204	148	574
205	148	572
206	148	570
207	149	568
208	149	567
209	150	565
210	150	564
211	151	563
212	151	561
213	152	559
214	152	557
215	153	556
216	153	554
217	154	552
218	154	551
219	155	549
220	155	549
221	159	558
222	160	559
223	161	558
224	161	556
225	162	555
226	163	556
227	164	558
228	165	556
229	165	555
230	166	554
231	167	553
232	168	554
233	168	552
234	169	551
235	170	550
236	170	548
237	170	547
238	171	545
239	171	544
240	172	542
241	172	540
242	172	538
243	173	537
244	173	535
245	174	535
246	175	534
247	177	537
248	179	542
249	180	541
250	181	540
251	181	539
252	182	538
253	182	536
254	183	535
255	183	533
256	184	532
257	184	531
258	185	529
259	185	528
260	186	526
261	186	525
262	186	523
263	187	521
264	187	520
265	188	518
266	188	517
267	188	515
268	189	514
269	189	512
270	190	511
271	190	510
272	191	509
273	193	511
274	194	511
275	194	511
276	195	510
277	195	508
278	196	508
279	197	507
280	197	505
281	197	503
282	198	502
283	203	513
284	204	511
285	204	510
286	204	508
287	205	509
288	206	509
289	207	509
290	209	511
291	211	513
292	212	513
293	213	513
294	214	513
295	215	511
296	215	510
297	217	512
298	217	510
299	220	514
300	221	515
301	222	513
302	223	514
303	223	512
304	224	511
305	225	510
306	226	510
307	226	509
308	227	508
309	227	506
310	228	505
311	228	504
312	229	502
313	229	501
314	230	500
315	230	498
316	230	497
317	231	496
318	231	495
319	232	493
320	232	492
321	233	490
322	233	489
323	234	488
324	234	487
325	235	486
326	235	485
327	236	483
328	236	482
329	236	481
330	237	479
331	237	478
332	238	477
333	238	476
334	239	474
335	239	473
336	240	472
337	240	471
338	241	470
339	241	468
340	242	467
341	242	466
342	242	465
343	243	463
344	243	462
345	244	461
346	244	460
347	245	459
348	245	458
349	246	457
350	246	456
351	247	455
352	247	454
353	248	452
354	248	451
355	248	450
356	249	449
357	250	448
358	251	449
359	252	449
360	253	448
361	254	447
362	254	446
363	255	446
364	256	445
365	256	444
366	257	443
367	257	442
368	258	441
369	258	440
370	259	439
371	259	438
372	260	437
373	260	436
374	261	435
375	261	434
376	262	432
377	262	432
378	263	431
379	263	430
380	264	430
381	265	429
382	266	429
383	266	428
384	267	426
385	267	425
386	268	424
387	268	423
388	268	422
389	269	421
390	270	420
391	270	419
392	270	418
393	271	417
394	272	417
395	272	416
396	273	415
397	274	414
398	274	413
399	275	413
400	275	412
401	276	410
402	276	409
403	277	409
404	277	407
405	278	406
406	278	405
407	278	404
408	279	403
409	280	403
410	280	402
411	281	401
412	281	400
413	281	398
414	282	397
415	283	398
416	283	397
417	285	396
418	286	396
419	286	396
420	287	395
421	287	394
422	288	393
423	288	392
424	289	391
425	289	390
426	290	389
427	291	389
428	291	388
429	292	387
430	292	386
431	293	385
432	293	384
433	293	383
434	294	382
435	296	382
436	296	381
437	297	381
438	297	380
439	297	378
440	298	377
441	298	376
442	298	375
443	299	374
444	300	374
445	300	373
446	301	372
447	301	371
448	302	370
449	302	369
450	302	368
451	303	367
452	303	366
453	304	365
454	305	365
455	305	364
456	306	363
457	306	362
458	306	361
459	307	360
460	307	359
461	307	358
462	308	357
463	308	356
464	309	355
465	309	354
466	310	354
467	311	354
468	312	353
469	312	352
470	313	351
471	313	350
472	314	350
473	314	349
474	315	348
475	315	347
476	316	346
477	316	346
478	317	345
479	318	344
480	318	343
481	319	343
482	319	342
483	320	341
484	320	340
485	320	339
486	321	338
487	322	338
488	322	337
489	323	336
490	323	335
491	324	334
492	324	334
493	325	333
494	326	333
495	327	332
496	328	331
497	328	331
498	329	330
499	329	329
500	330	329
501	330	328
502	331	327
503	331	326
504	332	325
505	333	325
506	333	324
507	334	323
508	334	322
509	335	322
510	336	321
511	336	320
512	336	319
513	336	318
514	337	317
515	337	316
516	338	316
517	341	317
518	341	316
519	342	315
520	342	314
521	342	313
522	344	314
523	344	313
524	345	312
525	345	311
526	346	310
527	346	309
528	346	308
529	347	307
530	347	306
531	347	305
532	348	304
533	348	304
534	348	303
535	349	302
536	349	301
537	350	300
538	350	299
539	350	298
540	351	298
541	352	297
542	352	296
543	353	296
544	353	295
545	354	294
546	354	293
547	355	293
548	356	292
549	356	291
550	356	290
551	357	290
552	357	289
553	359	289
554	359	288
555	360	287
556	361	287
557	361	286
558	362	285
559	362	284
560	362	284
561	363	283
562	364	282
563	364	281
564	365	281
565	365	280
566	366	279
567	366	278
568	366	277
569	367	277
570	368	276
571	368	275
572	369	275
573	369	274
574	369	273
575	370	272
576	371	272
577	371	271
578	372	270
579	372	269
580	373	269
581	373	268
582	374	267
583	374	266
584	375	266
585	375	265
586	376	264
587	376	263
588	376	263
589	377	262
590	377	261
591	378	260
592	378	259
593	379	259
594	379	258
595	379	257
596	380	256
597	380	255
598	381	255
599	381	254
600	382	253
601	382	253
602	383	252
603	383	251
604	383	250
605	384	249
606	384	249
607	385	248
608	385	247
609	386	247
610	387	246
611	388	246
612	388	245
613	388	244
614	389	243
615	389	242
616	390	242
617	390	241
618	391	240
619	391	239
620	391	239
621	392	238
622	392	237
623	392	236
624	393	236
625	393	235
626	394	234
627	395	234
628	395	233
629	395	232
630	396	231
631	396	231
632	397	230
633	397	229
634	397	228
635	398	227
636	398	227
637	399	226
638	399	225
639	400	225
640	400	224
641	401	223
642	401	223
643	402	222
644	402	221
645	403	220
646	403	220
647	404	219
648	404	218
649	405	218
650	405	217
651	405	216
652	406	215
653	406	215
654	406	214
655	407	213
656	407	212
657	408	212
658	408	211
659	409	210
660	409	210
661	410	209
662	410	208
663	410	207
664	411	207
665	411	206
666	412	205
667	412	205
668	412	204
669	413	203
670	413	202
671	413	202
672	414	201
673	414	200
674	415	200
675	415	199
676	416	198
677	416	197
678	417	197
679	417	196
680	418	195
681	418	195
682	419	194
683	419	193
684	419	193
685	420	192
686	420	191
687	421	190
688	421	190
689	421	189
690	422	188
691	422	188
692	422	187
693	423	186
694	424	186
695	424	185
696	424	184
697	425	184
698	425	183
699	426	182
700	426	182
701	427	181
702	427	180
703	427	179
704	428	179
705	428	178
706	428	177
707	429	177
708	429	176
709	430	175
710	430	174
711	430	174
712	431	173
713	432	173
714	432	172
715	433	171
716	433	171
717	433	170
718	434	169
719	434	169
720	435	168
721	435	167
722	435	167
723	436	166
724	436	165
725	437	164
726	437	164
727	437	163
728	438	162
729	438	162
730	438	161
731	439	160
732	439	160
733	440	159
734	440	158
735	440	158
736	441	157
737	441	156
738	441	156
739	442	155
740	442	154
741	442	154
742	443	153
743	443	152
744	444	152
745	444	151
746	444	150
747	445	149
748	445	149
749	446	148
750	446	148
751	447	147
752	447	146
753	448	146
754	448	145
755	448	144
756	449	144
757	450	143
758	450	143
759	451	142
760	451	141
761	452	141
762	452	140
763	453	140
764	454	139
765	454	138
766	454	138
767	455	137
768	456	137
769	457	136
770	457	135
771	457	135
772	458	134
773	458	133
774	459	133
775	459	132
776	460	132
777	460	131
778	461	130
779	462	130
780	463	129
781	463	129
782	464	128
783	464	128
784	465	127
785	465	126
786	466	126
787	468	126
788	482	129
789	483	128
790	484	127
791	484	127
792	485	126
793	485	125
794	486	125
795	486	124
796	487	124
797	487	123
798	488	122
799	488	122
800	496	123
801	497	122
802	497	122
803	500	122
804	501	121
805	501	120
806	502	120
807	502	119
808	503	118
809	503	118
810	503	117
811	504	116
812	504	116
813	504	115
814	505	114
815	505	114
816	505	113
817	506	112
818	506	111
819	507	111
820	507	110
821	508	110
822	508	109
823	509	108
824	509	108
825	509	107
826	510	106
827	510	106
828	511	105
829	511	104
830	511	104
831	512	103
832	512	102
833	513	102
834	513	101
835	514	100
836	515	100
837	515	99
838	516	99
839	516	98
840	517	97
841	517	97
842	518	96
843	518	95
844	518	95
845	519	94
846	519	93
847	520	93
848	520	92
849	521	91
850	521	91
851	522	90
852	522	90
853	522	89
854	523	88
855	523	88
856	524	87
857	524	86
858	524	86
859	525	85
860	525	84
861	525	84
862	526	83
863	526	82
864	527	82
865	527	81
866	527	80
867	528	80
868	528	79
869	528	79
870	529	78
871	530	77
872	530	77
873	531	76
874	531	75
875	532	75
876	532	74
877	532	74
878	533	73
879	533	72
880	534	72
881	535	71
882	535	70
883	536	70
884	536	69
885	537	69
886	538	68
887	538	67
888	538	67
889	539	66
890	539	66
891	540	65
892	540	64
893	541	64
894	541	63
895	541	62
896	542	62
897	542	61
898	543	61
899	543	60
900	543	59
901	544	59
902	545	58
903	545	57
904	545	57
905	546	56
906	546	56
907	547	55
908	547	54
909	548	54
910	548	53
911	548	52
912	549	52
913	549	51
914	550	51
915	550	50
916	551	49
917	552	49
918	552	48
919	553	48
920	554	47
921	554	46
922	555	46
923	555	45
924	556	45
925	556	44
926	557	43
927	557	43
928	558	42
929	558	42
930	558	41
931	559	40
932	559	40
933	560	39
934	560	38
935	561	38
936	561	37
937	562	37
938	562	36
939	562	35
940	563	35
941	563	34
942	563	34
943	564	33
944	564	32
945	565	32
946	565	31
947	565	31
948	566	30
949	566	29
950	566	29
951	567	28
952	567	27
953	567	27
954	568	26
955	568	26
956	568	25
957	569	24
958	569	24
959	570	23
960	570	23
961	570	22
962	570	21
963	571	21
964	571	20
965	571	20
966	572	19
967	572	18
968	572	18
969	573	17
970	573	17
971	573	16
972	574	15
973	574	15
974	575	14
975	575	14
976	576	13
977	576	12
978	577	12
979	578	11
980	578	11
981	578	10
982	579	10
983	579	9
984	580	8
985	580	8
986	580	7
987	581	7
988	581	6
989	581	5
990	582	5
991	582	4
992	582	4
993	583	3
994	583	2
995	584	2
996	584	1
997	584	1
998	585	0
999	585	0
